,text
2285,للاسف صوت الكلاب اجمل من صوتها
2676,عندها الصح شعب مخلوع راهي تهدر في الصح علاه تنكرو هدرة الصح سيرتو هادوك النسا عبدة الرجال لي راكم تقصفو فيها جاتكم في جنابكم
5428,لا نقبل بالصهاينة العرب في ارضنا الطاهرة
5136,يامصر وشكون لي سلكك من اسراييل تفكري شوي تاريخ
4637,متزداش تمتل ابناء ادم عليه سلام بالملايكة على خاطر الملايكة خلقهم ربي معصومين
5152,نحيو علينا المسرحية الجديدة الفايدة في الجزاير والشعب ربي يهديناانشاءالله
2044,من جهة اعطيك الحق مام ساترة روحك تلقاي راجل بمرتو يشوف من جهة اللوم يقع على الطرفين كي تخرج طفلة بملابس نتاع عرس راهي جيب في لبلا علابالها ربي سبحانو عندو حكمة في تحريم ذلك و ثاني رانا مسلمين عرب
116,كنشوفك كشغل شت العدس بالبن او ديجا البن بالعدس خرمنك
5950,علي راسي والله
3263,مرباوكش والديك كن جيتي متربي متوصليش قاع شباب الجزايري
5636,يكلو الغلة يسبو المالة
2247,رجال الجزاير فحولة انت لمخلوعة ياوالو
2936,هل تتكلمي على جميع الجزايريين لا لا اضن يوجد الكثير من اصحاب الاخلاق العاالية
3486,غاضتك روحك كي قعدتي بلا زواج
1610,بصح علاش راكي تكتبي وتعاودي خالصة عليها
1492,متهمينش رقعي ولا اقعدي يخي
4026,الله يرزقك الشفا قول امين
2218,عندها الحق والله بصح المشكل ما قالتش حاشالي ميستاهلش
191,تبهدلي ياوحد الحلوفة الكافرة
6063,والله اعلم بالاك انت على حق
3913,شوفي باش تهدر على رجل تع الجزاير بلك تنسي بلك باباك راجل محترم مثل الجزايرين وكتهدري على واحد متقوليش قاع الشعب الجزايري ياك
